,city,bd,total_transactions,total_activity,time_on_platform_months,num_25,num_50,num_75,num_985,num_unq,total_secs,payment_method_id,payment_plan_days,is_auto_renew,is_cancel,gender_male,registered_via_13,registered_via_3,registered_via_4,registered_via_7,registered_via_9,is_churn
1800,1.9096762,0.6923616,-0.32982343,-1.2162124,1.8754134,-0.16330507,0.058568552,-0.1141068,-0.1463463,-0.3643867,-0.31280896,-0.004640482,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
529,1.9096762,-0.36437348,-0.32982343,0.86138517,1.1941848,-0.30963096,-0.10390765,-0.21392946,-0.37763467,-0.41000172,-0.39513937,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
661,1.9096762,0.11596064,0.93772113,0.6426907,1.2671735,-0.55204767,-0.4822613,0.07079537,-0.20940447,1.2030075,0.7481751,0.4593316,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
1991,0.38883418,-1.0368413,-0.32982343,0.86138517,-1.0198087,0.6998471,0.4468234,0.5766658,0.22839937,0.021219334,0.21510302,-0.23662654,-0.15999371,-2.2377,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
2896,-0.6250605,0.40416113,-0.32982343,1.1894269,-1.1171271,-0.34946793,-0.13392523,0.62883115,0.041404285,0.69389546,1.2477739,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
912,-1.1320078,-0.26830664,-0.32982343,0.31464896,-0.21693194,-0.47382995,-0.606749,-0.32798764,-0.4635563,1.0510166,0.96823406,-0.70059866,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
289,0.38883418,0.019893818,-0.32982343,0.9707324,-0.5575463,0.6772298,-0.18183511,-0.23747382,-0.23680218,0.096006766,0.91609573,-1.860529,-0.15999371,-2.2377,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
785,0.7267991,1.2687626,-0.32982343,-1.9816431,-0.02229515,-0.74519265,-0.50271285,-0.8967162,-0.7201757,-1.1515111,-0.9364452,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
2890,-0.11811316,-0.26830664,0.93772113,-0.8881707,-0.02229515,-0.6136701,-0.41408947,-0.47746116,-0.28980368,-0.55745494,-0.4684776,0.4593316,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
2677,0.38883418,-0.5565071,0.93772113,0.4239962,0.09935284,-0.48812583,-0.2146869,-0.22590813,-0.28980368,0.5341231,0.93692064,0.4593316,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
408,-0.11811316,1.2687626,-0.32982343,1.0800797,0.29398963,2.1578686,0.24172351,0.47844028,0.43568063,0.25788713,0.11621152,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
2257,1.064764,0.500228,-0.32982343,-1.7629485,-0.7521831,0.043942574,-0.10390765,-0.6451631,-0.16684021,-0.13790283,-0.37007818,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
1966,0.5578166,0.11596064,-0.32982343,-2.0909903,-0.41156873,-0.8169322,-0.23684272,0.10949586,-0.7201757,1.0761993,2.3963594,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
409,1.9096762,0.40416113,-0.32982343,0.20530173,1.1698551,-0.764758,-0.50271285,-0.7137685,-0.5524982,-0.9672186,-0.81338495,0.6913177,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
322,-0.79404294,-0.7486408,0.93772113,0.75203794,-0.94681984,-0.21113141,-0.15806638,-0.4122437,-0.28297234,0.02009963,-0.056466382,0.9233037,-0.15999371,0.44996032,4.37861,0.0,0.0,0.0,0.0,1.0,0.0,0
1072,-0.9630254,-0.07617301,-0.32982343,0.4239962,0.29398963,-0.0038838226,0.7823262,1.3672609,0.8476081,-0.18802631,-0.22252712,-0.23662654,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
402,-0.45607805,0.500228,-0.32982343,-1.9816431,-1.0441382,-0.09953655,-0.50271285,-0.8967162,-0.7201757,-0.4609208,-0.38341707,-1.860529,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,1.0,0.0,0.0,0
154,1.9096762,0.11596064,-0.32982343,-0.5601289,1.3158327,-0.7021489,-0.52043754,-0.8296354,-0.57261956,0.00392803,-0.099600874,-1.860529,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
1627,0.38883418,-0.26830664,0.93772113,0.6426907,0.050693642,-0.5575661,-0.35955203,-0.39361015,-0.294533,-0.35638982,-0.3261994,0.4593316,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
749,0.38883418,-0.17223984,-0.32982343,-0.23208724,-0.4602279,0.051913608,-0.35500723,-0.6172128,-0.43326098,-0.696068,-0.78730005,-0.004640482,-0.15999371,0.44996032,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
70,-0.9630254,0.019893818,0.93772113,-1.6536014,0.12368243,-0.61606145,-0.3431908,-0.49423137,-0.57261956,-1.0802243,-0.8308897,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,1
210,0.21985172,2.4215646,-0.32982343,0.86138517,-1.1414566,-0.35062504,-0.55968505,-0.2858017,-0.35128537,-0.83167547,-0.51321065,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
2037,1.7406938,0.11596064,-0.32982343,-0.013392751,-1.0441382,-0.6591051,-0.55588686,-0.5948525,-0.6463976,0.5950139,0.8039902,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
568,-0.9630254,0.8844952,-0.32982343,-0.013392751,1.7051063,-0.60171354,-0.55588686,-0.44392076,0.017604932,-0.35844618,-0.37554204,0.6913177,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
1737,0.38883418,0.11596064,-0.32982343,-1.3255597,1.3888216,0.33090085,0.22843002,-0.51938665,-0.53573054,0.00689835,-0.21672425,-0.004640482,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
43,0.7267991,-0.26830664,-0.32982343,0.4239962,1.3158327,0.03198596,-0.52486867,-0.68708867,-0.44350794,-0.49248007,-0.5900093,-0.70059866,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
713,0.38883418,0.019893818,0.93772113,-0.013392751,1.0482072,-0.07084075,-0.55588686,-0.54454195,-0.12995118,-0.7171075,-0.27916265,0.4593316,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
2862,0.7267991,-0.4604403,-0.32982343,-1.1068652,-0.24126153,0.48872796,1.092508,-0.29298893,0.4602733,-0.14904138,-0.45816377,0.22734557,-0.15999371,-2.2377,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
2579,-0.9630254,0.98056203,-0.32982343,-0.5601289,-0.4602279,-0.5012781,-0.52043754,-0.56131214,0.06679034,-0.30201077,0.017054725,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
1977,0.7267991,1.8451635,-0.32982343,-1.8722957,-0.4845575,-0.8169322,-0.76858294,-0.8967162,-0.7201757,-1.077254,-0.85304993,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
332,1.9096762,0.40416113,-0.32982343,1.0800797,0.3669784,-0.20475455,-0.059595946,-0.32652935,-0.0069877757,0.81184435,1.7205536,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
1543,0.38883418,0.21202748,-0.32982343,1.0800797,1.2185143,-0.18084137,-0.46726352,-0.36006972,-0.40047073,0.15838264,0.029903205,-0.23662654,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
1119,0.38883418,-0.4604403,0.93772113,0.6426907,-0.5088871,2.0250583,-0.50271285,-0.50971156,-0.52154243,0.080584176,-0.23870614,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
248,0.38883418,1.2687626,2.2052655,1.0800797,1.4861399,-0.7882364,-0.715409,-0.796095,-0.6709903,-0.3361691,-0.36362383,0.4593316,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,1
1696,-1.1320078,-0.4604403,0.93772113,1.1894269,-0.14394315,0.6271158,0.46642664,0.6937481,0.27939805,-0.33085126,-0.21424721,0.4593316,-0.15999371,0.44996032,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
1349,-0.9630254,0.21202748,-0.32982343,1.0800797,0.12368243,-0.3243205,-0.18366869,-0.09174653,-0.2775073,1.9776794,1.5062007,-1.860529,-0.15999371,-2.2377,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
1234,0.5578166,-0.07617301,-0.32982343,0.5333435,0.6832632,0.15872592,0.9542555,1.1559564,1.1390314,-0.68458295,-0.35684764,-0.9325847,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
2316,1.9096762,2.9018986,-0.32982343,0.5333435,-0.4845575,-0.7136272,-0.6835045,-0.49423137,-0.57261956,0.4025398,4.7308936,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
404,-1.1320078,0.6923616,-0.32982343,1.0800797,0.8535704,-0.2717115,-0.041871287,0.8809251,0.60782933,-0.35399076,-0.2170828,-0.9325847,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
604,0.38883418,0.019893818,-0.32982343,0.31464896,1.2671735,-0.0932983,-0.39867672,-0.10924589,-0.36732408,-0.0337816,0.12474074,-1.3965569,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
2297,-0.9630254,0.40416113,0.93772113,0.31464896,0.29398963,-0.6734531,-0.7223447,-0.76547116,-0.6560208,0.45244044,0.16191396,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
2234,-1.1320078,0.21202748,-0.32982343,-1.1068652,-1.0927974,-0.7882364,-0.76858294,-0.8967162,-0.6463976,-0.29607022,-0.24437544,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
1009,0.7267991,2.5176313,-0.32982343,0.6426907,1.0968664,0.39712197,0.23354292,1.038307,0.15948583,0.20225148,-0.15710558,-0.23662654,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
2191,-0.79404294,0.11596064,-0.32982343,0.4239962,-0.4358983,-0.11149317,-0.19253102,-0.30975917,0.017604932,0.0050419527,-0.11580631,-0.23662654,-0.15999371,0.44996032,-0.15310897,1.0,0.0,1.0,0.0,0.0,0.0,0
2624,-1.1320078,0.21202748,-0.32982343,-1.2162124,-0.92249024,-0.21113141,0.058568552,0.6685026,-0.1463463,-0.3742876,-0.32826793,-0.23662654,-0.15999371,-2.2377,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
1657,0.38883418,0.019893818,-0.32982343,-1.434907,0.07502324,-0.24301568,-0.38876852,-0.7529716,-0.19318952,-0.3622651,-0.44175094,-0.004640482,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
2170,-0.11811316,-2.7660441,0.93772113,-1.1068652,-0.6791943,-0.1712761,-0.55588686,-0.69547373,-0.49884146,-0.5678509,-0.34830418,0.4593316,-0.15999371,0.44996032,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
1107,0.7267991,-0.5565071,-0.32982343,0.6426907,-0.4845575,0.5240459,0.11083361,0.72870326,0.07435732,0.8482875,0.68526345,0.6913177,-0.15999371,0.44996032,-0.15310897,1.0,0.0,1.0,0.0,0.0,0.0,0
770,-0.9630254,-2.7660441,-0.32982343,-1.5442542,2.1673687,-0.41040802,-0.41408947,-0.72901416,-0.5972122,-0.7950774,-0.78340244,-0.004640482,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
124,0.38883418,-0.07617301,-0.32982343,-1.5442542,0.7075928,2.3635218,1.2697546,0.27719784,-0.10535851,0.8534283,-0.04548691,-0.23662654,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
561,-0.9630254,1.0766289,-0.32982343,-1.9816431,1.7537655,-0.60171354,-0.23684272,-0.39361015,-0.35128537,1.3880788,0.900944,-0.70059866,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
2429,-0.79404294,-0.65257394,-0.32982343,0.86138517,-1.0684679,-0.33525226,-0.48372215,-0.5732909,-0.32493606,-0.763253,-0.42152277,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
2671,1.9096762,-0.07617301,0.93772113,0.4239962,-1.1414566,-0.16529784,0.47214428,0.40297434,0.44797698,-0.18616991,-0.2661853,0.4593316,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
481,0.21985172,-0.36437348,-0.32982343,-2.0909903,0.5859448,-0.8169322,-0.76858294,-0.8967162,-0.7201757,-1.1960652,-0.9669346,-0.23662654,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
175,1.2337464,-0.26830664,-0.32982343,1.0800797,-1.4090822,0.16829118,-0.23684272,-0.22590813,0.14056833,-0.48468304,-0.31568256,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1740,-0.9630254,-0.7486408,-0.32982343,1.0800797,-1.0684679,0.31177032,0.9329859,0.31073833,0.31271714,-0.36587185,-0.43066671,-2.092515,-0.15999371,-2.2377,-0.15310897,1.0,0.0,0.0,1.0,0.0,0.0,0
518,0.5578166,-0.07617301,-0.32982343,-0.34143448,-0.92249024,-0.56373376,-0.3932369,-0.5415825,-0.3295859,-0.5172688,-0.32244176,0.6913177,-0.15999371,0.44996032,-0.15310897,1.0,0.0,1.0,0.0,0.0,0.0,0
2616,0.7267991,0.21202748,-0.32982343,-1.1068652,-0.24126153,-0.63040936,-0.44953883,-0.39361015,-0.12995118,1.8915415,1.3134285,-0.70059866,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
2211,0.38883418,0.11596064,-0.32982343,1.1894269,0.14801203,0.28924558,0.07190972,0.044578962,0.70778674,2.7304542,2.5911527,-0.9325847,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
11,-0.79404294,0.40416113,-0.32982343,-0.99751794,0.4886264,1.2830806,0.5365977,0.47539118,0.48710164,0.32687864,-0.25310203,-0.004640482,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
2040,0.38883418,0.98056203,-0.32982343,0.86138517,-0.7278535,-0.6990743,-0.6356479,-0.7170355,-0.6938264,-0.2333761,-0.29320905,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1059,-0.45607805,0.019893818,0.93772113,1.1894269,-0.5818759,-0.45129183,-0.42552477,-0.34492245,-0.29178694,0.034205783,0.1881853,0.4593316,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
2631,-0.9630254,1.8451635,-0.32982343,-0.4507817,-0.7521831,-0.21611334,-0.03744012,0.10949586,-0.21295151,-0.6419223,-0.59979016,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
517,1.5717113,-0.65257394,-0.32982343,0.86138517,1.2671735,1.1507816,0.08599956,0.90009105,4.180795,0.39038283,0.748275,-0.70059866,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
891,-1.1320078,-0.17223984,-0.32982343,0.6426907,0.14801203,0.29227182,0.13128518,0.26429772,-0.039147418,1.6554041,0.90607065,-0.004640482,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
40,1.9096762,-0.7486408,0.93772113,-1.9816431,-0.21693194,2.1961296,1.3583782,2.625026,-0.7201757,-0.059932962,-0.8422376,0.4593316,-0.15999371,0.44996032,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
283,1.9096762,1.2687626,-0.32982343,0.75203794,-0.16827273,0.0014302674,0.07826263,1.0411737,0.94666195,-0.59375834,0.40375298,-1.1645708,8.121886,-2.2377,-0.15310897,1.0,0.0,1.0,0.0,0.0,0.0,1
195,1.9096762,0.019893818,-0.32982343,-0.99751794,1.778095,-0.5691046,0.004857425,-0.43934706,-0.38482082,-0.74647284,-0.6975946,-0.23662654,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1597,-0.6250605,-0.36437348,-0.32982343,0.09595449,1.4374808,-0.6256267,-0.51537335,-0.65714186,-0.5093812,-0.42167065,-0.35837084,-2.324501,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
708,-0.9630254,0.500228,-0.32982343,-0.013392751,-0.36290953,-0.44388646,0.029027415,-0.19236776,0.017604932,1.9472343,2.203574,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
2192,-1.1320078,-0.84470767,-0.32982343,0.9707324,-0.38723913,-0.45081303,-0.45687318,-0.4456556,-0.51664996,-0.8427043,-0.63233,-0.23662654,-0.15999371,0.44996032,-0.15310897,1.0,0.0,1.0,0.0,0.0,0.0,0
2291,1.064764,-0.36437348,-0.32982343,0.31464896,-0.8251718,0.00027499182,0.24865927,0.63447607,0.27422428,-0.51419216,-0.3548512,-0.23662654,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
1921,0.38883418,-0.4604403,-0.32982343,-0.6694762,-0.11961354,-0.30450675,-0.23684272,-0.39361015,-0.35128537,-0.45773837,-0.52246726,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
1041,1.9096762,0.019893818,0.93772113,-1.8722957,1.0482072,-0.72127944,-0.59133625,-0.56131214,-0.7201757,-1.0921055,-0.9252843,0.4593316,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1475,0.38883418,0.6923616,0.93772113,0.5333435,1.6807766,-0.60458314,-0.5346173,-0.6149768,-0.366041,-0.99289805,-0.8416274,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
751,0.7267991,-2.7660441,-0.32982343,-0.4507817,2.2160277,-0.36855993,0.62723523,1.2414844,-0.16684021,-0.39130485,-0.44507357,-0.70059866,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
759,0.050869286,0.500228,-0.32982343,1.1894269,0.4886264,-0.22450225,-0.3226073,-0.37738094,-0.50598127,0.085946105,2.5357707,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
2589,0.38883418,0.40416113,-0.32982343,1.1894269,-1.2144454,0.03468587,-0.23684272,-0.052796423,0.9695799,-0.4990075,0.10915986,0.22734557,-0.15999371,-2.2377,-0.15310897,0.0,0.0,0.0,1.0,0.0,0.0,0
