,msno,city,bd,gender,registered_via,is_churn,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,is_cancel
14,sUQKpN/B7bkp3vHa9og/WejqHhbe3VjELCt+tG6PIyQ=,13,17,male,7,0,1.411764705882353,0.23529411764705882,0.35294117647058826,0.17647058823529413,3.8823529411764706,5.588235294117647,1047.5252352941177,41.0,30.0,99.0,99.0,1.0,0.0
15,kvNB1yLqyARUfU3vS8hjhsZBlaHKaN35uLLW2eWGEtQ=,11,33,female,9,0,4.0,1.5714285714285714,0.7142857142857143,0.35714285714285715,16.071428571428573,21.571428571428573,4034.5197857142857,34.0,30.0,149.0,149.0,1.0,0.0
16,MZY3T3MrEsDT7xAIgPmHmvcy5WqlNMfrQ4C47S8D4zQ=,4,47,female,9,0,9.64516129032258,2.935483870967742,1.1935483870967742,1.5806451612903225,71.6774193548387,68.90322580645162,17147.33787096774,23.0,30.0,149.0,129.0,1.0,0.0
17,LxtiFN43U4XcbWya4IaLEHxI6rJ+kINBAxcRk86ExEM=,15,32,male,3,0,1.45,2.0,0.65,0.55,18.15,9.1,4860.1412,39.0,30.0,149.0,149.0,1.0,0.0
18,gywCpTT/5U6iNBSH0BL36drZ/DXIKCUHnbXHdS4x+CM=,1,58,male,4,0,10.166666666666666,1.6666666666666667,0.8333333333333334,0.3333333333333333,11.833333333333334,21.0,3447.375666666667,30.0,30.0,129.0,129.0,1.0,0.0
19,3YjMYI+aEWZXgWS/bWk6Je1VtXi2OqTEf3pQ+Nk0X5c=,9,27,male,7,0,28.129032258064516,5.709677419354839,2.774193548387097,1.7419354838709677,26.70967741935484,54.03225806451613,7747.537193548387,41.0,30.0,149.0,149.0,1.0,0.0
20,U7NoU31eerGc5kaur2vjnT/O0G5clOPy6L/tSZ6MpfU=,4,25,male,3,0,0.5,0.0,0.0,0.0,10.75,11.0,2647.0725,33.0,30.0,149.0,149.0,1.0,1.0
21,SRfryN6XCzfY4JV6aHZ2iIWH0Vgb3iDkg48IHnvOFHM=,22,28,female,9,1,2.875,1.375,0.5,0.8125,17.5625,11.375,4398.8269375,36.0,30.0,180.0,180.0,1.0,0.0
22,BoYzVrBwutsTYBrUD81pIzDx/mRbs+SKz0OSEcNIXeQ=,22,40,male,9,0,11.0,3.2580645161290325,1.967741935483871,2.064516129032258,20.322580645161292,32.29032258064516,6027.350903225806,27.0,30.0,149.0,149.0,1.0,0.0
23,XRey9DmWgwP6wjNL5UNSGkSB9/c4kptCE1YrwQyXMRk=,22,24,female,9,0,5.333333333333333,1.2,0.9333333333333333,0.9333333333333333,7.466666666666667,13.066666666666666,2456.459933333333,39.0,30.0,149.0,149.0,1.0,0.0
24,ylRD4Ah05g6L3reIRAPGDdyCkJRf8GVT6IF4m1m/cKk=,15,34,male,9,0,3.2903225806451615,0.5806451612903226,0.5483870967741935,0.4838709677419355,42.12903225806452,43.61290322580645,10827.686193548387,36.0,30.0,180.0,180.0,1.0,0.0
25,dX5WQKO/SH0Fj9McMgMZZ2rf3W2m4I7tnvxDRDkOPVk=,15,24,male,9,0,5.258064516129032,1.2903225806451613,1.064516129032258,1.2903225806451613,23.516129032258064,26.838709677419356,6188.881290322581,36.0,30.0,180.0,180.0,0.0,0.0
26,seoU1pYRuLUxuhVqaM8y6TFVOBnqWk+csO4NKjRWctU=,13,29,female,9,0,4.4,0.6,0.0,0.0,11.4,15.6,2870.5808000000006,40.0,30.0,149.0,149.0,1.0,0.0
27,VVdHm51/DlX+vpRvkTnVqBg/PD5CQP5z/G0/L/ZBheY=,5,32,male,7,0,6.411764705882353,1.9411764705882353,0.6470588235294118,0.5882352941176471,21.58823529411765,28.176470588235293,5925.330882352941,41.0,30.0,99.0,99.0,1.0,0.0
28,cuvgWAEy+DuG+vKt5mi5jnjTZDyyOujaP05o/OtRkCs=,13,41,female,9,0,1.9333333333333333,0.6333333333333333,0.4666666666666667,0.7333333333333333,6.766666666666667,9.533333333333333,1785.5863,40.0,30.0,149.0,149.0,1.0,0.0
29,gwrneXUQgOCjNS1H3CAZn3jyfeQfPkK86KYToruZb7k=,5,26,female,7,0,3.857142857142857,0.7142857142857143,0.6428571428571429,0.8571428571428571,34.535714285714285,25.571428571428573,8380.623642857143,41.0,30.0,99.0,99.0,1.0,0.0
30,facPZrEKL438NNHexdCrFeP2rt9zZxPAwORD1bMcQaU=,11,36,male,9,0,6.481481481481482,1.4074074074074074,1.4814814814814814,1.1111111111111112,12.037037037037036,19.14814814814815,3517.1998518518517,31.0,30.0,149.0,149.0,1.0,0.0
31,anZIg++75aEjQzr3p4QGl6UV3c7o7g8ZATz2GOQihEs=,5,21,female,9,0,8.709677419354838,3.2580645161290325,1.6774193548387097,1.7096774193548387,14.419354838709678,24.129032258064516,4506.179193548387,40.0,30.0,149.0,149.0,1.0,0.0
32,L2Jhdiatx7TcugkBYBm10fAKkWMPUfFyXz7PGrlRxLU=,4,32,female,9,0,4.0,0.5454545454545454,0.36363636363636365,0.7272727272727273,22.545454545454547,22.90909090909091,5883.622545454546,40.0,30.0,149.0,149.0,1.0,0.0
33,uECGpYROzBbUErxSwZkeM2kJ1wGo9ecA+QGL1FCG1jk=,5,23,female,4,0,3.6666666666666665,0.6333333333333333,0.4666666666666667,0.8,28.566666666666666,30.2,6825.892733333333,40.0,30.0,149.0,149.0,1.0,0.0
34,7fS6ZoNhA03KPx1/kMC29pQnhx1ZuNlDBO/7ytOTzn8=,14,25,male,9,0,1.7777777777777777,0.8888888888888888,0.8333333333333334,0.3888888888888889,182.05555555555554,104.77777777777777,43992.000499999995,33.0,30.0,149.0,149.0,1.0,0.0
35,h5jg0RYqfGjZYu4IbuDrOzqacWOvAvbYJa/XWypCjVI=,13,24,male,3,0,2.3181818181818183,0.8181818181818182,0.8636363636363636,0.6818181818181818,29.363636363636363,31.727272727272727,7715.028954545455,33.0,30.0,149.0,149.0,1.0,0.0
36,n1DbYYdxfbJ5DxmTKgdCG+z2d89M4+/eDBbnXaCQrUA=,15,28,male,9,0,2.0,3.0,0.0,1.0,8.0,10.0,2585.878,37.0,30.0,149.0,149.0,1.0,0.0
37,IyJgqGh20vU2q5yiS1AeVkPT6dp3Xhp03KIxn9pFeKo=,4,18,male,3,1,7.230769230769231,0.9615384615384616,0.5769230769230769,0.6923076923076923,18.692307692307693,20.96153846153846,4174.634076923077,38.0,90.0,477.0,477.0,0.0,0.0
38,9PX8VZnpzeDt6BOE74Y2IUujhm96AEjiGTGctVFbOUs=,13,22,male,9,0,2.142857142857143,0.7857142857142857,0.5,0.21428571428571427,14.5,16.642857142857142,3807.4773571428573,36.0,30.0,180.0,180.0,0.0,0.0
39,T3VXxi9HrSHoQZ2ObjJiP3+V2G+YzbwMJCBxgZWXRzw=,15,23,male,9,0,0.5,0.0,0.0,0.1,14.6,15.0,3268.4795,37.0,30.0,149.0,149.0,1.0,0.0
40,3s5VaRXaryPnsw8erhD1ZSvVnJ0bAIA6JhN2zZXbBcs=,15,48,male,9,0,0.25806451612903225,0.06451612903225806,0.12903225806451613,0.0967741935483871,143.03225806451613,17.677419354838708,31119.842548387096,33.0,30.0,149.0,149.0,1.0,0.0
41,yAt8XnS7yJdmt6CAgLApobEt5teKWwKMnksdTcUSivE=,15,22,female,9,0,1.125,2.375,1.0,0.125,25.125,29.375,6423.407125,39.0,30.0,149.0,149.0,1.0,0.0
42,6cRA8fdO+5hv52cGZNCDNfCWIIUgMxe6f0M1ijncK6g=,12,29,male,9,0,1.25,0.5,0.125,0.625,25.0,24.375,6576.6653750000005,38.0,30.0,149.0,149.0,0.0,0.0
43,kjmKHe8rqoMEyvDfqnFzs7YJUgRxMOjneWuYq6o//6s=,6,52,female,9,0,1.3571428571428572,0.6428571428571429,0.35714285714285715,0.42857142857142855,6.571428571428571,4.928571428571429,2002.2500714285713,33.0,30.0,149.0,149.0,1.0,0.0
44,rsAamV+tmwloJk569h2O1+uHx05z3Het8DI3YC6Zk3Y=,13,35,female,7,0,1.8333333333333333,0.5,0.16666666666666666,0.3333333333333333,19.666666666666668,6.666666666666667,5983.235666666667,41.0,30.0,149.0,149.0,1.0,0.0
45,5E2yzdM3xuGJsLZQa70ftYaHJsbyEufclGwzpauvK+E=,4,26,female,3,0,4.833333333333333,1.4,0.9,1.5,175.4,93.46666666666667,42155.00113333333,40.0,30.0,149.0,149.0,1.0,0.0
46,5mvaJIggsbQN2c/Qu2Agc5Ea5TbzRMoS9Un4Ubp4UOk=,15,39,female,9,0,1.6666666666666667,0.2,0.8,0.6,12.8,15.533333333333333,3579.7096,39.0,30.0,149.0,149.0,1.0,0.0
47,5jIRwlEI4ertO98gKcb0nqtBYVIV/bIjjnaArDp/xqk=,13,32,male,4,1,5.666666666666667,2.1666666666666665,1.3333333333333333,0.4166666666666667,37.166666666666664,42.916666666666664,9909.06825,38.0,30.0,149.0,149.0,0.0,0.0
48,iMJ+2ORjplR/OxZICzkVRL3/3WkPwaS4mxS3KuJSSTk=,5,26,male,9,0,7.0,2.925925925925926,2.0,2.074074074074074,15.074074074074074,25.444444444444443,4890.584851851851,36.0,30.0,180.0,180.0,1.0,0.0
49,Flzb3brjRq8uY2/HVZLNtNqI1dSvuOyCYB0CzYeiFDE=,5,20,male,4,0,4.733333333333333,1.9,1.3,1.4,84.7,29.233333333333334,20545.234699999997,23.0,135.0,90.0,90.0,0.0,0.0
50,zngg6/ejC97utFTCeccgg123POX54qKxG+nHpub+bYY=,5,36,male,9,0,2.5714285714285716,1.1904761904761905,0.8571428571428571,0.5714285714285714,12.047619047619047,10.761904761904763,3237.8771904761907,31.0,30.0,149.0,149.0,1.0,0.0
51,mNa8TFRulzb1dfyHpufkAbk1OOMJ3CFVnvMqm0P/aEM=,5,33,male,9,0,1.2857142857142858,0.14285714285714285,0.2857142857142857,0.14285714285714285,11.857142857142858,13.142857142857142,3090.024,34.0,30.0,149.0,149.0,1.0,0.0
52,G8wCyuPyN40ENhqaSWcrhG0WnUPGCu+nPoLL8vc5ZBs=,4,31,male,7,0,3.7142857142857144,1.5714285714285714,0.5714285714285714,0.42857142857142855,15.571428571428571,20.0,4005.498857142857,41.0,30.0,99.0,99.0,1.0,0.0
53,0BiXXsd8yCtNQQBjaInzVFmY99liiw0iEDJRDKv+h0s=,5,26,female,9,0,17.875,1.75,1.75,1.5,76.0,93.75,19495.689916666666,36.0,30.0,180.0,180.0,0.0,0.0
54,thWhes79YmzHeApdZ5GiBqCTNf1hpVNOxeHhPpXlWow=,13,28,male,3,0,3.4761904761904763,0.5238095238095238,0.6190476190476191,0.5238095238095238,55.38095238095238,43.714285714285715,13624.512142857144,37.0,30.0,149.0,149.0,1.0,0.0
55,VGA2+nGvN+4LH1n6o2eH38kPZoSJHbTz2NulXAAQFNk=,4,18,female,7,0,17.322580645161292,2.3548387096774195,1.5483870967741935,1.2903225806451613,21.29032258064516,41.29032258064516,5629.592870967742,41.0,30.0,100.0,100.0,1.0,0.0
56,nCMklQLdkn6fE7Q4UVIQztYM8n8T0lkGIxZmbqwArhE=,12,32,female,9,0,0.5217391304347826,0.2608695652173913,0.4782608695652174,0.34782608695652173,17.652173913043477,11.130434782608695,4340.318130434783,39.0,30.0,149.0,149.0,1.0,0.0
57,xg69Yl0P+QQsFzN8lwAvzJcKb76EUgRvjdcHUOP2MLQ=,14,34,male,3,0,0.0,0.0,0.0,0.5,6.5,7.0,1815.3155,39.0,30.0,149.0,149.0,1.0,0.0
58,NLGv1smBbhlAZREWWiL5JE8yiH/F4o9n2lybWUnMGg4=,1,20,male,4,0,5.0,1.3333333333333333,0.5833333333333334,0.8333333333333334,2.25,8.583333333333334,979.5513333333333,29.0,30.0,180.0,180.0,0.0,0.0
59,VMNM0cvxGFuqP2wVbQlU8iDqbrZjHw+O2NzV9jFReKI=,13,26,female,9,0,10.4,1.6,1.32,0.92,74.52,65.8,18013.78356,39.0,30.0,149.0,149.0,1.0,0.0
60,SJ5kfBRfAIFWIARymixpGhuZSTl4qXitXcqmalAl8bc=,13,26,male,9,0,2.625,0.2916666666666667,0.3333333333333333,0.125,10.333333333333334,13.375,2439.0181666666667,36.0,30.0,180.0,180.0,1.0,0.0
61,ntYkpJ2ovE5B9Iii2ateBJGhpYoJLIVGv400oqIoYDE=,5,26,male,9,0,27.533333333333335,4.033333333333333,2.6333333333333333,5.5,31.5,61.93333333333333,9842.0707,39.0,30.0,149.0,149.0,1.0,0.0
62,OdGn7PCBGMMcqWNtvIW56ODaT/+eiD+taYszHGFtFB8=,5,31,male,3,0,2.9565217391304346,0.8260869565217391,0.6086956521739131,0.4782608695652174,64.21739130434783,54.17391304347826,16763.519565217393,38.0,30.0,149.0,149.0,0.0,0.0
63,Wvh69dcClZnVSk+ogMiUsBn4cQ6RlLxah/Op093Pj98=,5,27,male,7,0,0.0,0.0,0.0,0.0,6.0,6.0,1424.03,41.0,30.0,99.0,99.0,1.0,0.0
64,5Q9G8Z7pHcbzGs7SqNBolA0K1sWu1AjJ2dboZaKz4kg=,22,22,female,7,0,12.636363636363637,3.090909090909091,1.4545454545454546,1.2727272727272727,17.90909090909091,28.363636363636363,4987.025636363636,39.333333333333336,30.0,159.33333333333334,159.33333333333334,1.0,0.3333333333333333
65,JWIF7rmT0WM+CbWSwXahn+wpqEG5uKtcJmL+z1AWZ4U=,13,40,female,7,0,5.6923076923076925,1.1538461538461537,0.7307692307692307,0.6153846153846154,68.88461538461539,56.42307692307692,16389.805500000002,41.0,30.0,129.0,129.0,1.0,0.0
66,3ldS5LVfkG4ne39rjqJyUR99YJVsw9S0gI6BbksdRbA=,6,32,female,9,0,4.45,1.4,1.35,1.8,39.8,37.15,11476.1005,37.0,30.0,149.0,149.0,1.0,0.0
67,axb8Hn0wucRWevBCjiNgLups3vM/UDGfsQVh0iJj9J4=,15,63,male,4,0,0.3333333333333333,0.0,0.0,0.0,78.66666666666667,79.0,20101.248,39.0,30.0,149.0,149.0,1.0,0.0
68,imwZ4dESVL6MsSKUF2CW35wNiXPJ3x1RkKf6eclwlRg=,13,28,female,9,1,0.7,0.2,0.3,0.4,13.9,15.3,3842.6742,40.0,30.0,149.0,149.0,1.0,0.0
69,eIcCn9a7DdnzLi5Lz66ECYMe7duUWm/Euq0lbj6fDR0=,4,28,male,9,0,3.1875,0.625,0.875,0.4375,18.6875,22.5625,4704.348875,40.0,30.0,149.0,149.0,1.0,0.0
70,BT0fCcDOIi7ssDGRiKOKEdZBQO4sTJofE3tahddZlnU=,5,26,male,4,0,9.793103448275861,2.8275862068965516,1.4482758620689655,1.4137931034482758,34.06896551724138,45.86206896551724,9420.655413793103,36.0,30.0,180.0,180.0,1.0,0.0
71,AF7kZ+znJZsvojt3teMrW/LOhcVszCf6sYjg2ehGntA=,13,25,female,9,0,19.88888888888889,2.3703703703703702,1.4444444444444444,0.6296296296296297,21.296296296296298,41.370370370370374,5763.435185185185,37.0,30.0,149.0,149.0,1.0,0.0
72,AsCGq0zyMNz3s+WqRReF8DNAMrhWErtabH2fSGy2auA=,13,34,female,9,0,3.65,0.85,0.95,1.1,8.15,13.4,2385.2228999999998,39.0,30.0,149.0,149.0,1.0,0.0
73,JpbQ3lx6EEvT3nsPZDsM2M1OzN7gxd+MJKimzgDn/uE=,6,34,female,9,0,1.1304347826086956,0.30434782608695654,0.21739130434782608,0.43478260869565216,18.304347826086957,18.695652173913043,4261.520391304348,39.0,30.0,149.0,149.0,1.0,0.0
74,wddlNoJir4auPtULBCxxxhDVs14IIqMECPtboNKG+5Y=,1,44,male,7,0,1.8148148148148149,1.4444444444444444,0.7777777777777778,1.0,21.88888888888889,22.555555555555557,6047.6932962962965,41.0,30.0,129.0,129.0,1.0,0.0
75,FqwVvYwqZ+8eu447pzvQwsAwXcPxJkWroHoB/sXS1dc=,15,28,male,9,0,2.5,0.5,0.2,0.25,14.95,15.7,4036.52295,40.0,30.0,149.0,149.0,1.0,0.0
76,dkiX+CyxDzQwtALfRV/2UrEUjBtFyDJE0IFQDYPOaQY=,5,39,male,9,0,1.8181818181818181,0.6363636363636364,0.09090909090909091,0.09090909090909091,14.181818181818182,15.545454545454545,4370.166090909091,18.0,30.0,149.0,149.0,1.0,0.0
77,Un1ZZbHgPfgmS7R4yJh+zs5lEnDeZ04jyXl9s9YnESs=,8,21,male,7,0,4.083333333333333,0.6666666666666666,0.4583333333333333,0.5,241.54166666666666,137.125,62007.022375,41.0,30.0,149.0,149.0,1.0,0.0
78,Thzz6eWG6p203Pz7iNT3Rn9tPYfRMZe27BWI/vO5w1Y=,6,17,male,3,0,3.411764705882353,1.411764705882353,0.5882352941176471,1.2352941176470589,7.823529411764706,11.411764705882353,2512.7291764705883,36.0,30.0,180.0,180.0,1.0,0.0
79,tUbSadzIksuoXTqSS3hx/gA4g9jTB2SxcFZwBiEdBGA=,13,28,male,3,0,1.3666666666666667,0.4,0.5,0.8333333333333334,28.533333333333335,24.1,7313.251399999999,40.0,30.0,149.0,149.0,1.0,0.0
80,fpQJnP9MdV/X6hefNcl4aAtFGLOmwsAC7i9bnumVFWw=,13,17,male,4,0,9.75,2.65,1.5,1.25,50.55,31.8,12013.72335,37.0,30.0,149.0,149.0,1.0,0.0
81,fBMOcajIjTAUo67nojsB/gceYw9UwMpym6itieE9YsU=,13,33,female,9,0,13.826086956521738,1.8695652173913044,1.391304347826087,1.0434782608695652,24.47826086956522,35.26086956521739,6759.518608695653,40.0,30.0,149.0,149.0,1.0,0.0
82,tbCoid+iHt+R1bfIAfRjm0zjkfR4DRGxwWW0JAWyZy0=,22,22,male,9,0,1.8076923076923077,0.9230769230769231,0.34615384615384615,0.5384615384615384,23.192307692307693,19.692307692307693,6577.516692307692,39.0,30.0,149.0,149.0,1.0,0.0
83,jfFXGQ5D7RY4v5YFjRP/AeuHursE7iw66vIjRcYTPRI=,5,22,male,9,1,6.0,2.3,1.2,1.3,16.6,20.6,4819.6803,39.0,30.0,149.0,149.0,1.0,0.5
84,HbU+OAMgN0gVDjzyBnr9+YQF9DLWf4t4eH+SgtOAy04=,7,19,male,7,0,24.551724137931036,4.896551724137931,3.6551724137931036,4.793103448275862,48.62068965517241,70.82758620689656,13794.813413793103,41.0,30.0,129.0,129.0,1.0,0.0
85,8HozAn0bljW+alLYvUup5fwHzMKhJFoEnlyUQi/ER3M=,6,26,female,9,0,3.5384615384615383,0.6923076923076923,0.23076923076923078,0.3076923076923077,18.923076923076923,20.923076923076923,4973.726153846154,40.0,30.0,149.0,149.0,1.0,0.0
86,i4XADVCQKwj8pxwM6RnHUW/EBgkSZwXAolVb7lWgUdU=,22,43,female,9,0,1.6666666666666667,2.0,0.6666666666666666,0.0,13.0,17.333333333333332,3371.6856666666667,34.0,30.0,149.0,149.0,1.0,0.0
87,1xG3eVgLhApe957OHv7zgP9L7I0CdpzKkshicFbNqfk=,15,20,female,3,0,8.833333333333334,2.3333333333333335,1.1666666666666667,1.2222222222222223,12.055555555555555,23.22222222222222,3374.46,38.0,30.0,149.0,149.0,0.0,0.0
88,ju+QPlmZeGJx1Br++FwJFsMNlclPdGzhRSoMzwTCkXs=,10,31,male,9,0,0.0,0.0,0.0,0.0,4.0,3.5,871.5,34.0,30.0,149.0,149.0,1.0,0.0
89,IF3umkvDHfXVKagjLp7T6rrCHAmlO2Nw7X+6fwLZ7F0=,15,27,male,9,0,3.466666666666667,1.5333333333333334,0.3333333333333333,0.5333333333333333,5.466666666666667,9.6,1748.5439999999996,39.0,30.0,149.0,149.0,1.0,0.0
90,KV62Ih2LlDjbfVfnLko/mjd61ZDbSvxZ3JWN5xGvnbQ=,4,21,female,9,0,2.642857142857143,1.0,0.2857142857142857,0.6428571428571429,9.214285714285714,12.571428571428571,2508.451,40.0,30.0,149.0,149.0,1.0,0.0
91,9dQlv4KXcZ3lUtLrGnmzxlM1h8O8swiFg5cUhCSyk7g=,13,34,female,9,0,2.466666666666667,2.4,0.8666666666666667,0.26666666666666666,15.4,17.133333333333333,3961.0134666666663,36.0,30.0,180.0,180.0,1.0,0.0
92,uNhfJyk2hfoXiGoYcdbMuFHRD+ES3bJ1EbhWZYWyfPc=,14,24,male,9,0,5.0,0.6956521739130435,0.782608695652174,0.6956521739130435,9.826086956521738,14.521739130434783,3144.1251739130435,33.0,30.0,149.0,149.0,1.0,0.0
93,VSsAy+RkooMYEPwEv0MB2zGmhgZwOrOWFBIkeYUml5s=,15,48,female,7,0,5.5,2.25,1.4,1.2,11.65,18.65,3661.3228499999996,41.0,30.0,114.5,114.5,1.0,0.5
94,T9Ylu7xHpVJcthI5dDD+Fc2TKojk0KWHLfgIYZb+p4I=,13,43,male,7,0,4.0,0.3333333333333333,0.2777777777777778,0.6666666666666666,8.833333333333334,12.61111111111111,2525.847333333333,41.0,30.0,129.0,129.0,1.0,0.0
95,KQFmK8Q62v3ZPoCDLvAHW1y5YPZBimgYc8FPldvLW6U=,11,30,male,9,0,1.032258064516129,0.16129032258064516,0.1935483870967742,0.41935483870967744,133.7741935483871,134.32258064516128,33918.57019354839,34.0,30.0,149.0,149.0,1.0,0.0
96,pojSHBb9bJ3Wy4+F9btfeAdEQeizyzZIPRQSyADuQQk=,15,25,female,9,1,6.08,1.84,0.96,1.04,13.6,19.48,3788.1780400000002,39.0,30.0,149.0,149.0,1.0,0.0
97,IAVg/L6DufYkds1DaDoy7UCP2EPbAMpcqUQrGiOe0ww=,14,24,male,9,0,8.333333333333334,2.9,1.8333333333333333,2.033333333333333,28.933333333333334,35.233333333333334,8206.4382,36.0,30.0,180.0,180.0,1.0,0.5
98,7HqvoFanDTL/KYHvU5wEfc1zvh4U2NQCQvHyKLwDoJE=,15,19,male,3,0,5.3,2.45,1.5,1.9,10.2,15.1,3135.5349,33.0,30.0,149.0,149.0,1.0,0.0
99,KIuGOf4SRjz7xNWrgxFeOIhpElfyLlnIrON1HFxlTg0=,22,28,male,9,0,6.066666666666666,1.2,1.4666666666666666,1.7,26.033333333333335,27.566666666666666,6877.165233333333,33.0,30.0,149.0,149.0,1.0,0.0
100,gSIBKl/nYDljuw4iJQji6eC28KCNELWtmlyvmz3YNN8=,10,32,male,7,0,3.0526315789473686,0.42105263157894735,0.47368421052631576,0.631578947368421,12.894736842105264,12.842105263157896,3445.661631578947,41.0,30.0,149.0,149.0,1.0,0.0
101,HepnXliJIEEjmg7umU8RJ4aAgMHLmdx1A9Lp1rThGks=,1,0,female,7,0,5.566666666666666,1.0666666666666667,0.9,1.2,26.1,23.266666666666666,6891.673,41.0,30.0,132.33333333333334,132.33333333333334,1.0,0.0
102,3Ct8o748e+DhujG2b2u1Rc4SVUaUzcnhIXGMmN30ln0=,15,21,male,3,0,6.0,1.2,1.0,0.8,12.6,20.2,3682.6344,33.0,30.0,149.0,149.0,1.0,0.0
103,pw1Dho2okE9wdzwDVnT54JsypoZFrQUSQoisu2gst6A=,6,35,female,9,0,3.142857142857143,0.9285714285714286,0.7857142857142857,0.6428571428571429,14.428571428571429,12.928571428571429,3422.996142857143,37.0,30.0,149.0,149.0,1.0,0.0
104,+q3fXUJuFJ8GNX33TyAirOT2d58RlRQlOKvuX2dtoPc=,5,30,male,9,1,1.4166666666666667,0.6666666666666666,0.125,0.375,13.291666666666666,14.791666666666666,3474.2498333333333,32.0,410.0,1788.0,1788.0,0.0,0.0
105,0Dez2YhG7ej8rhmy87dr8+pk1XRLulBxyt2Qf7ED0Jo=,22,35,female,9,0,20.0,4.5,2.0,1.75,12.0,30.75,4599.9385,37.0,30.0,149.0,149.0,1.0,0.0
106,LLTSKyIdiyEgalGVMtiY4xIVSRSaftm/5+VtLSTT97w=,22,35,female,9,0,3.0,0.8636363636363636,0.5909090909090909,0.6818181818181818,10.772727272727273,12.590909090909092,3167.0963181818183,40.0,30.0,149.0,149.0,1.0,0.0
107,X/sNNUMmjCTETLd8t+aOjtmDuevmbzTgc/wQsjb3a5U=,15,29,female,9,0,4.666666666666667,0.38095238095238093,0.3333333333333333,0.9523809523809523,18.095238095238095,22.38095238095238,4809.93638095238,37.0,30.0,149.0,149.0,1.0,0.0
