,msno,city,bd,gender,registered_via,total_transactions,total_activity,time_on_platform_months,is_churn,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,is_cancel,discount,is_discount,amt_per_day,membership_duration
23,PS53OjqdvvsanoTCK5Pvi3HDrWXCLvFxp8sa3oEhv2k=,13,27,male,3,1.0,2.0,39,0,3.0,0.5,1.0,0.5,29.5,33.5,5769.4445,34.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
24,OIeO8h3UFm5jB/JL1RYI4JLHsydofPAvYrjTlxiLX/8=,22,31,female,9,1.0,27.0,84,0,7.111111111111111,2.3333333333333335,1.1481481481481481,1.2592592592592593,30.962962962962962,33.407407407407405,8235.226777777778,29.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,31.0
25,RIWnYNd6OruR5kpSzV+QqWCoyzXg8hw1wstF/Tn2n54=,4,28,male,3,1.0,21.0,3,0,7.428571428571429,1.2380952380952381,0.8571428571428571,0.47619047619047616,10.857142857142858,18.761904761904763,3118.6949999999997,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,31.0
26,ZN4oKZSJfmZ6YUUmvVZXsPO5NcAKMBluD9eAujTl0as=,14,40,male,9,1.0,15.0,54,0,3.6666666666666665,0.4666666666666667,0.4666666666666667,0.6,15.2,14.333333333333334,3164.610866666667,36.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,30.0
27,WvJZ/eWA+EbCtXKz0xSAPnihevsyf9nMkO+M8Dh1UeM=,4,26,male,9,1.0,18.0,53,0,5.777777777777778,1.6666666666666667,0.6666666666666666,1.0555555555555556,38.611111111111114,31.88888888888889,9583.159833333331,36.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,30.0
28,WMoGfwseo7mM2tc1bITYTsdqhNFN7XIWv1HNUKEXNg0=,6,33,female,9,1.0,26.0,112,0,4.153846153846154,0.6538461538461539,0.2692307692307692,0.9615384615384616,32.76923076923077,27.153846153846153,8620.139115384616,37.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
29,rrPBd0uZc3ti1C669k+oA8khtv0D2ZMlmZ8mJipZDqo=,14,39,male,3,2.0,31.0,55,0,3.161290322580645,0.41935483870967744,0.2903225806451613,0.1935483870967742,128.67741935483872,7.838709677419355,19973.010387096772,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,54.5
30,QC0XkYr0K3lc8Ygblm5ZdjZHBobtie5xfKzfB6jL0e0=,15,35,male,7,1.0,6.0,17,0,5.166666666666667,1.5,0.5,0.5,28.5,34.0,7346.982499999999,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,30.0
31,fMRvHS2Ii18UbmWbuIWSZNqgEiOaWcnFcx24qjtaYP0=,18,35,female,9,1.0,21.0,122,0,4.0476190476190474,0.5714285714285714,0.38095238095238093,0.8095238095238095,12.285714285714286,13.380952380952381,2293.393,34.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
32,9MQjVX2+YLE+NvWy1K3U1D6BHNXcGEvfOK4dKqUuntk=,15,35,female,9,2.0,8.0,144,1,3.75,0.5,0.25,0.375,21.25,21.0,5432.532,19.0,30.0,149.0,149.0,1.0,0.5,0.0,0.0,4.966666666666667,42.5
33,HCL1VjY+XmJwEQa2WK5INACYJPBEKc5/7+iYdAQqGIw=,13,19,male,9,1.0,29.0,20,0,3.689655172413793,0.4827586206896552,0.13793103448275862,0.1724137931034483,10.96551724137931,14.03448275862069,2784.065482758621,36.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,30.0
34,cWTBEvRNlqAdo4GxmZ9W8R/XPPG022i/IIPdo/yY+JI=,5,35,female,7,1.0,31.0,14,0,3.3548387096774195,1.5483870967741935,1.0,0.7741935483870968,33.74193548387097,28.870967741935484,9230.417096774194,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,31.0
35,/tkk56ZvvgKmCsJvPckgrVN6/kCSSeYwcYJlG2MsZmk=,5,18,male,3,1.0,10.0,18,1,3.5,0.6,0.2,0.0,6.5,10.6,1772.2176,36.0,30.0,180.0,180.0,1.0,1.0,0.0,0.0,6.0,-1.0
36,BgdaGI2vJpMjtjmv7qINBeBRH9zlUmyg1nHrRPgdBkU=,13,27,female,9,1.0,29.0,107,0,5.0,1.6551724137931034,1.0344827586206897,1.2413793103448276,11.758620689655173,13.758620689655173,3753.897862068966,34.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
37,Xsl3oy8yWX2j2i74IVCH7LY/zEkcaeHYIhwjIBzOyGs=,13,22,male,9,1.0,28.0,103,0,2.75,1.2857142857142858,0.8928571428571429,0.75,91.17857142857143,78.53571428571429,22877.003928571427,30.0,30.0,100.0,100.0,1.0,0.0,0.0,0.0,3.3333333333333335,35.0
38,WHSF6XjXpoZhqVqs7ZGh2i+whn1s3im60wV6MRYLPKk=,5,77,female,7,1.0,2.0,42,0,3.5,0.0,0.5,6.0,3.5,10.0,2605.9245,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,31.0
39,2B6rE5QXBoqETeLr0PsTwt3jTYz/4MGeFMjs8ICkWxE=,13,26,female,9,2.0,25.0,94,0,7.12,1.12,0.8,0.68,16.84,19.16,4281.63576,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,46.5
40,GbY5p1a6jJilPdSZHFux7x1S6VrCkzscu3SWABHxex8=,17,22,female,7,1.0,20.0,25,0,5.2,1.15,1.05,0.85,12.4,16.8,3451.871,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,34.0
41,+JO0vrQMkXv3EKtHoaLGPUGMOtUEE/7jHRJ7JIcOcgQ=,22,25,male,7,1.0,27.0,5,0,6.148148148148148,1.2222222222222223,0.9259259259259259,1.2962962962962963,22.0,9.518518518518519,6321.831925925926,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,31.0
42,EWJrWXoeqxjPLmFilG+jVPlyPjnL4gRu3LGFvTaK+RE=,12,41,female,9,1.0,24.0,73,0,2.0416666666666665,0.20833333333333334,0.75,1.25,87.95833333333333,32.625,20615.84920833333,37.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
43,Lbvz+l+2kLbMc+QvP3NTqeCSMEa4oqDmZJuSOKeIHPw=,5,20,male,9,1.0,29.0,29,0,1.9655172413793103,0.6206896551724138,0.27586206896551724,0.3793103448275862,18.310344827586206,19.517241379310345,4799.422379310344,38.0,30.0,149.0,149.0,0.0,0.0,0.0,0.0,4.966666666666667,30.0
44,iWjmvpkiscbTM9TC++kUp7m0gLtXoezJFHBSrEIQJZ4=,15,24,male,3,1.0,30.0,41,0,1.9333333333333333,1.0333333333333334,0.8333333333333334,4.766666666666667,32.6,37.7,9707.654533333336,33.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
45,gQlJOSxpopty5EOYVPPhBFdBi7wWvYYeiqXALUTPras=,1,25,male,4,1.0,26.0,19,1,8.73076923076923,2.3846153846153846,2.1923076923076925,1.8076923076923077,26.076923076923077,29.0,7450.4830769230775,38.0,90.0,447.0,447.0,0.0,0.0,0.0,0.0,4.966666666666667,90.0
46,oJppxkEJ0A3B9Gpe0vFgTeq3bwtJddAw6pj2AeGai+k=,15,34,female,3,2.0,24.0,43,1,1.1666666666666667,0.7916666666666666,0.3333333333333333,0.25,167.29166666666666,139.66666666666666,38837.46008333333,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,61.5
47,7QjyWDelXov/mUVUb1EzdUrKLS0sjA2mKXU9WFXXjXQ=,13,37,female,7,1.0,11.0,78,0,5.0,1.0909090909090908,1.3636363636363635,2.1818181818181817,4.909090909090909,9.545454545454545,1729.6589999999999,36.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,31.0
48,P/s2x8523FI0llakGaF3dJ6KZgijOXpqnLVbBqLfRvI=,1,39,male,3,1.0,24.0,23,0,2.7916666666666665,0.5416666666666666,0.5,0.375,123.33333333333333,105.33333333333333,31263.423125,38.0,30.0,149.0,149.0,0.0,0.0,0.0,0.0,4.966666666666667,30.0
49,MQrxB1xkvqzywLP3kmMwrvI8Jbo1lmRXlK4tCh5VQQM=,9,31,female,7,1.0,1.0,70,0,0.0,0.0,1.0,0.0,44.0,8.0,9741.485,41.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,32.0
50,JYtzidL6XQryt6tJQTK2pULoMYqoi74saeunDSQf69k=,5,26,male,7,1.0,31.0,63,0,5.709677419354839,1.096774193548387,0.7419354838709677,1.3225806451612903,23.967741935483872,24.516129032258064,6515.727806451612,41.0,30.0,129.0,129.0,1.0,0.0,0.0,0.0,4.3,32.0
51,lQRMriAxAWh3M40ZNiVtVuahrEi2LR/24Tp3/W2j0qo=,1,0,male,7,1.0,20.0,21,0,1.9,0.5,0.35,0.25,14.05,15.55,3868.2920999999997,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,31.0
52,RT4jsUTtJt02/FYKB124ri+nS34lqSbzpTHp7RyOqqM=,15,22,male,7,1.0,31.0,20,0,3.0,1.4838709677419355,1.3870967741935485,1.096774193548387,22.451612903225808,23.967741935483872,6096.637870967741,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,30.0
53,4L1QHcIk56YIECy7WDQi6BHMFvK/C1PcS39ywob/9U4=,12,22,female,7,1.0,29.0,16,0,9.620689655172415,3.0344827586206895,1.9310344827586208,1.1724137931034482,23.689655172413794,30.620689655172413,6930.69079310345,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,31.0
54,7nPG3+g6ixD/h2a2qRvIHw/LYeAQ/aCVM5BobOqqvzA=,13,44,male,9,2.0,9.0,122,0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.1111111111111111,26.88888888888889,20.88888888888889,7896.098222222223,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,46.5
55,RrDXLHxg4p9YL9T19DxdWHdArwJrLZ2NZNQL/F+r/10=,12,19,female,9,4.0,29.0,29,1,9.724137931034482,2.7586206896551726,1.6206896551724137,2.8275862068965516,42.793103448275865,43.89655172413793,10964.755448275862,36.0,30.0,180.0,180.0,0.0,0.0,0.0,0.0,6.0,105.0
56,RcXXbOk3OyfaBgsAHEVWD4KEUvfhZyUcKMfh5NKmLjg=,1,19,male,9,1.0,31.0,24,0,15.193548387096774,1.7096774193548387,1.2258064516129032,0.9032258064516129,44.70967741935484,55.516129032258064,11114.712193548386,38.0,30.0,149.0,149.0,0.0,0.0,0.0,0.0,4.966666666666667,30.0
57,nL7RTRQtfhwcqznhKBAdGxzroKOF5qI1B1//KueKdOw=,5,26,male,7,1.0,4.0,67,0,6.0,3.25,0.25,0.5,1.75,10.25,927.11675,41.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,32.0
58,wyNhJ/oSn74zDMDMDEWJQslnOA3/+CHi0jrbfARc5F8=,12,29,female,9,1.0,25.0,23,0,3.32,1.24,1.24,0.96,65.4,50.88,15966.989,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,33.0
59,6ORmd1ZH0zO4lKx5qlOLybR9tErwEKuXg2NdDVIwOoM=,15,28,female,9,2.0,5.0,124,0,27.2,1.4,1.0,1.2,25.8,44.6,7204.9638,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,55.5
60,2Nf6oeuuugGGCzhsDahcZGlzlapqD3CW7DWmCW4Fihc=,22,29,female,4,1.0,30.0,12,1,1.0333333333333334,0.43333333333333335,0.3333333333333333,0.16666666666666666,142.0,139.46666666666667,34988.90119999999,40.0,30.0,149.0,0.0,1.0,0.0,149.0,1.0,0.0,30.0
61,+smmg6PYviidnzPzd2tf+yy2Tf6X4XdwOBDM9TTzlpc=,6,28,female,3,1.0,31.0,26,0,4.193548387096774,1.903225806451613,1.4193548387096775,1.5483870967741935,15.67741935483871,19.322580645161292,4672.821967741936,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,33.0
62,IPcQLuyAXkSMJls84p8GdxItRGPrcQ+SLJL8HBHf5O8=,14,0,male,3,1.0,12.0,25,0,7.083333333333333,0.6666666666666666,0.8333333333333334,0.4166666666666667,18.833333333333332,27.416666666666668,6027.136666666666,37.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
63,r/s9zOs1dZ/I5I9di5GNZizBNhrth7/JisQy6kaKtZ8=,5,23,female,3,2.0,20.0,53,0,10.8,2.15,0.95,0.8,60.6,71.55,13513.377599999998,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,61.5
64,RnQZjlHHnzq8GbQLi2tc6ZCoItNFW6YkMPtk2uPol+M=,5,29,female,9,1.0,31.0,101,0,1.064516129032258,0.7096774193548387,0.4838709677419355,0.5483870967741935,148.70967741935485,90.38709677419355,37966.223806451606,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
65,TKgW7U8T76NMa+zLQ1hxDK3PrV+qWPMNxyHGNXmjlaw=,6,41,female,9,2.0,14.0,110,1,1.4285714285714286,0.5,0.21428571428571427,0.7857142857142857,10.214285714285714,9.214285714285714,3003.906071428571,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,60.5
66,ko+pubHHyV0Z+7LZ9QPJ2yGBKRXhjqUFtL9IVIhn/IE=,22,21,female,4,1.0,30.0,10,0,16.833333333333332,1.5333333333333334,1.1,1.1,27.833333333333332,29.733333333333334,7875.0277333333315,38.0,30.0,149.0,149.0,0.0,0.0,0.0,0.0,4.966666666666667,30.0
67,IPAF9091L8/rm0b4peJEnmX/oG6uT+pDCGAlAbLCa1U=,11,25,male,3,1.0,30.0,32,0,27.033333333333335,4.4,3.4,4.833333333333333,60.333333333333336,80.56666666666666,16792.5529,37.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
68,1DteSxGFhA8bYXocyCff9gVWdJA+mJSEWTtaYAvmhPo=,22,22,male,9,1.0,25.0,73,0,11.16,3.08,2.4,1.76,35.84,47.76,10278.802679999999,36.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,30.0
69,UWVLzJms6Wk648a5fh2Rp7EW+t72R1L7Y/EhAVuScgI=,22,27,female,9,1.0,23.0,27,0,4.869565217391305,1.6521739130434783,0.9130434782608695,1.6956521739130435,67.78260869565217,68.73913043478261,16067.93352173913,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
70,9jKVMIF2+6AJsNB0Pu3L7xpxu7yKmw+BTEy8JDRjlgE=,14,29,female,3,2.0,3.0,61,0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.0,10.666666666666666,3348.9626666666663,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,39.5
71,u0bLCmTfp3yDeESN3wor4ImA0PnI7zVFDgbwMvHiUzk=,14,22,female,7,2.0,5.0,36,0,1.0,0.8,0.2,0.0,11.0,1.6,2322.3836,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,32.5
72,YPzzfBVXU2rw9WshY5v9uoW6lXgwifqPUB8lCw/FFLM=,7,29,female,9,1.0,12.0,131,0,6.583333333333333,2.0833333333333335,1.0,0.75,15.166666666666666,20.583333333333332,4213.804166666667,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
73,DfV0kTp6CVuvgcXqItEJRK+P57DuUZNgj6PiW/H5w2M=,13,34,female,9,1.0,2.0,132,1,3.5,0.0,0.0,1.0,2.0,5.5,785.152,32.0,410.0,1788.0,1788.0,0.0,0.0,0.0,0.0,4.360975609756098,420.0
74,mKYsBUyvsVniNcqSQeg8ksU8d2y7xgruDYnfB8pS3ek=,4,28,male,4,1.0,30.0,16,0,5.8,1.2666666666666666,1.3,1.0333333333333334,14.366666666666667,18.533333333333335,4442.615833333332,38.0,30.0,149.0,149.0,0.0,0.0,0.0,0.0,4.966666666666667,30.0
75,yJrImFauFBdrfIL5EaSwX8Pgjia4iQyLSEJ8qDoPhuo=,11,34,male,9,2.0,2.0,136,0,3.5,3.0,0.5,1.0,4.5,9.5,1923.6315,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,54.5
76,LSwDg9c1912GOMiw+hBbPgr9gyzstlzWyzgQ6i8N+I0=,5,27,female,7,1.0,29.0,33,0,1.793103448275862,0.5517241379310345,0.4482758620689655,0.5862068965517241,51.758620689655174,42.41379310344828,13165.679310344827,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,31.0
77,uw6DIFXbYhsJvbpwZfAh7HKVx1fidLbWZHx6Wa2ELlg=,13,22,female,9,1.0,24.0,61,0,7.458333333333333,2.5416666666666665,1.375,0.8333333333333334,36.875,36.541666666666664,8370.870666666668,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
78,92+xRMrATsnFkaWBQAMfb8RPY7l9/0z9BxfcVG3EzEE=,15,24,female,9,1.0,23.0,104,0,2.8260869565217392,6.0,1.434782608695652,0.6521739130434783,75.78260869565217,82.04347826086956,19535.36356521739,36.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,30.0
79,+/bkkC2BQDP7RoEr36QgKFZ8GYWJ9bv9HBOjnSsd1tM=,5,22,male,9,1.0,7.0,114,0,5.142857142857143,0.8571428571428571,1.0,0.14285714285714285,61.285714285714285,54.0,13787.45042857143,36.0,30.0,180.0,180.0,0.0,0.0,0.0,0.0,6.0,30.0
80,FRBH7TrjpZjYaRaTJS7whor2so84nfEkZS7zY6WpSHk=,4,25,female,3,1.0,3.0,9,0,6.666666666666667,1.0,1.0,1.0,56.0,62.666666666666664,13562.840666666665,36.0,30.0,180.0,180.0,0.0,0.0,0.0,0.0,6.0,30.0
81,+Z6zBa4ksUWj0gaHH6Zai/zcECQFpc++50XQkv/rXtk=,22,31,male,9,1.0,13.0,156,0,3.076923076923077,1.0,0.38461538461538464,0.38461538461538464,7.461538461538462,10.076923076923077,2207.285,34.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
82,eR6wZ2XPYvV1K/7WKaJFT47pSxncV5Sqqa/8DfCGa6Q=,13,34,female,9,2.0,22.0,28,0,3.5454545454545454,1.4090909090909092,0.9090909090909091,0.6818181818181818,61.95454545454545,49.31818181818182,16591.947,40.0,30.0,149.0,149.0,1.0,0.5,0.0,0.0,4.966666666666667,22.5
83,hJc98UhwGo/zLxgHRx5DsGoEDSLYu2OBrF4duxpFnCI=,22,29,female,3,1.0,20.0,47,0,5.7,3.15,1.05,0.8,22.85,28.45,6451.2375,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,37.0
84,EEkpNydPZLsw5hM2P1e5iHEiE0MtVaPVdTVOslvnyZY=,11,24,male,9,1.0,17.0,102,0,1.0588235294117647,0.35294117647058826,0.17647058823529413,0.5294117647058824,56.05882352941177,53.0,14793.342647058824,36.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,30.0
85,yH4i1o0BUOsYR3WUOjSGlMC62Ud8xqsej9H0DfbqkJk=,15,26,male,9,1.0,6.0,20,0,1.6666666666666667,0.3333333333333333,0.16666666666666666,0.5,14.833333333333334,14.666666666666666,3910.565666666667,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
86,NLUWx7isGIpkn0wfT//AumeuYmZhHzofDfJnwf/vLMM=,5,28,female,9,2.0,22.0,75,0,3.090909090909091,0.9090909090909091,0.45454545454545453,0.8636363636363636,9.545454545454545,11.681818181818182,2659.9488636363644,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,42.5
87,NB98oWMpRhSFWmhq779Owg/mHy9UbXsXd/F5AHCdwdY=,13,26,female,9,2.0,24.0,62,0,3.9583333333333335,1.2083333333333333,1.25,0.7916666666666666,14.208333333333334,17.166666666666668,4108.206374999999,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,55.5
